"newName","weekStartDate","period","value1","value2","value2PerValue1"
"name1","2013-09-01","2013-09-01~2013-09-07",898957,2860305,3.1818040239967
"name1","2013-09-08","2013-09-08~2013-09-14",1135616,3324028,2.92707041816952
"name1","2013-09-15","2013-09-15~2013-09-21",1477445,5130643,3.47264568224198
"name1","2013-09-22","2013-09-22~2013-09-28",1316905,5367607,4.07592575014902
"name1","2013-09-29","2013-09-29~2013-10-05",1144861,6116619,5.34267391412582
"name1","2013-10-06","2013-10-06~2013-10-12",989851,6228455,6.29231571216274
"name1","2013-10-13","2013-10-13~2013-10-19",688598,6118756,8.8858172692921
"name1","2013-10-20","2013-10-20~2013-10-26",532614,5721079,10.7415107376073
"name1","2013-10-27","2013-10-27~2013-11-02",506016,5037100,9.95442831847214
"name1","2013-11-03","2013-11-03~2013-11-09",696545,5115354,7.34389594354995
"name1","2013-11-10","2013-11-10~2013-11-16",652819,5026224,7.69926120410098
"name1","2013-11-17","2013-11-17~2013-11-23",875919,4877465,5.5683973061436
"name1","2013-11-24","2013-11-24~2013-11-30",1261903,4848695,3.84236744028661
"name1","2013-12-01","2013-12-01~2013-12-07",1511271,5294658,3.50344709850186
"name1","2013-12-08","2013-12-08~2013-12-14",1501122,4954348,3.30042994506776
"name1","2013-12-15","2013-12-15~2013-12-21",941892,4518842,4.79762223269759
"name1","2013-12-22","2013-12-22~2013-12-28",767096,3631377,4.73392769614233
"name1","2013-12-29","2013-12-29~2014-01-04",1920322,6866074,3.575480570446
"name1","2014-01-05","2014-01-05~2014-01-11",2198997,4610074,2.09644396968254
"name1","2014-01-12","2014-01-12~2014-01-18",1899522,3152493,1.65962436865696
"name1","2014-01-19","2014-01-19~2014-01-25",1024091,2908028,2.83961874481858
"name1","2014-01-26","2014-01-26~2014-02-01",1179401,4097677,3.47437131221696
"name1","2014-02-02","2014-02-02~2014-02-08",914562,5351362,5.85128400261546
"name1","2014-02-09","2014-02-09~2014-02-15",1081617,3430066,3.1712389875529
"name1","2014-02-16","2014-02-16~2014-02-22",1465619,2842947,1.93975855935274
"name1","2014-02-23","2014-02-23~2014-03-01",1310458,4073377,3.10836135152748
"name1","2014-03-02","2014-03-02~2014-03-08",1243166,5672946,4.5633053027512
"name1","2014-03-09","2014-03-09~2014-03-15",1314286,4270294,3.24913603279651
"name1","2014-03-16","2014-03-16~2014-03-22",820296,4819048,5.8747671572213
"name1","2014-03-23","2014-03-23~2014-03-29",538489,3433721,6.37658522272507
"name1","2014-03-30","2014-03-30~2014-04-05",411972,7008910,17.0130737040381
"name1","2014-04-06","2014-04-06~2014-04-12",518567,4328012,8.34609992537126
"name1","2014-04-13","2014-04-13~2014-04-19",515786,3967730,7.69258956233787
"name1","2014-04-20","2014-04-20~2014-04-26",638975,3091522,4.83825188778904
"name1","2014-04-27","2014-04-27~2014-05-03",770736,5884825,7.63533168296278
"name1","2014-05-04","2014-05-04~2014-05-10",747228,4005816,5.360901893398
"name1","2014-05-11","2014-05-11~2014-05-17",560406,2982961,5.3228570001035
"name1","2014-05-18","2014-05-18~2014-05-24",386224,2895477,7.49688522722565
"name1","2014-05-25","2014-05-25~2014-05-31",551480,2931788,5.31621817654312
"name1","2014-06-01","2014-06-01~2014-06-07",1090947,6476144,5.9362590483314
"name1","2014-06-08","2014-06-08~2014-06-14",873404,3496542,4.00335011060174
"name1","2014-06-15","2014-06-15~2014-06-21",808471,3940530,4.87405237788368
"name1","2014-06-22","2014-06-22~2014-06-28",862427,3950854,4.58108802252249
"name1","2014-06-29","2014-06-29~2014-07-05",930566,6772013,7.27730542487046
"name1","2014-07-06","2014-07-06~2014-07-12",600979,5286314,8.79617091445791
"name1","2014-07-13","2014-07-13~2014-07-19",530494,4577256,8.62828985813223
"name1","2014-07-20","2014-07-20~2014-07-26",682297,4302660,6.30613940849806
"name1","2014-07-27","2014-07-27~2014-08-02",600540,6119297,10.189657641456
"name1","2014-08-03","2014-08-03~2014-08-09",516521,5073371,9.82219696779027
"name1","2014-08-10","2014-08-10~2014-08-16",545791,4668866,8.55431108244731
"name1","2014-08-17","2014-08-17~2014-08-23",595977,4430316,7.43370297847065
"name1","2014-08-24","2014-08-24~2014-08-30",475923,3749701,7.8787976206235
"name1","2014-08-31","2014-08-31~2014-09-06",412843,8305709,20.1183234304566
"name1","2014-09-07","2014-09-07~2014-09-13",466770,5857424,12.548844184502
"name1","2014-09-14","2014-09-14~2014-09-20",418067,4300056,10.2855666675437
"name1","2014-09-21","2014-09-21~2014-09-27",379452,3913833,10.3144350273552
"name1","2014-09-28","2014-09-28~2014-10-04",536951,11019819,20.5229508837864
"name1","2014-10-05","2014-10-05~2014-10-11",575902,5602657,9.72849026396852
"name1","2014-10-12","2014-10-12~2014-10-18",421851,4488963,10.6411102498275
"name1","2014-10-19","2014-10-19~2014-10-25",457311,3710191,8.11305872808658
"name1","2014-10-26","2014-10-26~2014-11-01",834284,5191088,6.22220730590542
